ref,run,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,CoO,NiO,H2O,CO2,total,_Fe3Fetotal,T_K,P_bar,_Fe3Fe2,olivine_forsterite,fO2,kd_FeTMg,kd_Fe2Mg
D2007,A488,31.07328,0.99705,8.82606,9.86646,0.14739,17.04522,17.39202,1.2138,0.02601,0,0.11271,,,,13.3,100,,1698.15,30000,,0.91,,0.3,
D2007,A509,34.15022,1.49916,8.05194,8.37434,0.13702,12.32374,13.69394,2.20038,0.0403,0,0.12896,,,,19.4,100,,1623.15,30000,,0.898,,0.3,
D2007,A510,38.24613,1.18728,9.603,9.3411,0.11349,14.2299,12.4839,1.84203,0.09603,0,0.13968,,,,12.7,99.98254,,1673.15,30000,,0.9,,0.3,
D2013,M363,27.05514,1.31313,3.09246,9.27738,0.19425,18.54699,17.00076,1.15773,0.06216,0,0,,,,22.3,100,,1673.15,40000,,0.903,,0.38,
D2013,M365,33.28164,0.91887,5.82513,9.15498,0.21075,19.97067,14.14554,0.75027,0.05901,0,0,,,,15.7,100.01686,,1723.15,40000,,0.91,,0.38,
D2013,M377,36.72136,0.69836,7.8676,9.61792,0.221,21.86132,10.49308,0.87516,0.05304,0,0,,,,11.6,100.00884,,1773.15,40000,,0.92,,0.35,
D2013,M368,42.2499,0.465,6.5751,9.1047,0.1953,26.2911,7.5144,0.5673,0.0465,0,0,,,,7,100.0093,,1873.15,40000,,0.93,,0.39,
D2013,M343,28.61205,1.272,4.77,9.54,0.2385,18.27705,15.89205,0.8745,0.0318,0,0,,,,20.5,100.00795,,1723.15,50000,,0.899,,0.38,
D2013,M346,32.84328,0.843,5.04957,10.95057,0.20232,20.21514,13.47957,0.6744,0.04215,0,0,,,,15.7,100,,1773.15,50000,,0.903,,0.35,
D2013,M350,34.71125,0.69125,5.20625,10.4125,0.2275,23.4325,12.15375,0.60375,0.0525,0,0,,,,12.5,99.99125,,1823.15,50000,,0.914,,0.38,
D2013,M358,38.24819,0.6349,5.46014,10.01328,0.22675,24.58877,10.92935,0.5442,0.04535,0,0,,,,9.3,99.99093,,1873.15,50000,,0.919,,0.39,
D2013,M379,39.17896,1.1336,6.09528,8.71128,0.19184,16.54184,13.93456,1.1336,0.03488,0,0.25288,,,,12.8,100.00872,,1723.15,40000,,0.908,,0.35,
